TABLE S1: Pearson Correlation for ORFs represented by multiple oligonucleotides			
Bozdech & Llinas et al.			

This table contains all of the ORFs represented in the analyzed dataset which 			
are represented by multiple oligonucleotides on the DNA microarray.			

Column 1: PlasmoDB ID			
Column 2: Oligonucleotide ID			
Column 3: Number of oligonucleotides for that ORF			
Column 4: The average Pearson correlation between these oligonucleotides			

PlasmoDB ID	Oligonucleotide ID	Number of oligos for this ORF	Average Pearson correlation
PF10_0219	opfj12815		
PF10_0232	f42768_1		
PF10_0232	j17_1	3	0.725362635
PF10_0232	j17_2		
PF10_0244	j227_3		
PF10_0244	j227_6	3	0.925409344
PF10_0244	opfblob0101		
PF10_0258	j232_8	2	0.70251846
PF10_0258	j232_9		
PF10_0276	j504_5	2	0.979790754
PF10_0276	opfj12804		
PF10_0306	j223_4	2	0.976959794
PF10_0306	kn1453_1		
PF10_0308	j6_4		
PF10_0308	j6_6	3	0.975563391
PF10_0308	kn610_1		
PF10_0309	f13746_1		
PF10_0309	j6_12	5	0.742511844
PF10_0309	j6_14		
PF10_0309	kn427_6		
PF10_0309	opfj12795		
PF10_0310	j352_8	2	0.826307601
PF10_0310	kn4026_1		
PF10_0316	d56259_1	2	0.977380801
PF10_0316	opfj12794		
PF10_0320	j222_2		
PF10_0320	j222_3	4	0.027928989
PF10_0320	j222_7		
PF10_0320	opfj12792		
PF10_0328	j132_9	2	0.928555907
PF10_0328	kn201_14		
PF10_0330	j1011_3	2	0.933013527
PF10_0330	opfj12790		
PF10_0335	j167_13	2	0.948980985
PF10_0335	j167_14		
PF10_0342	j147_1	2	0.97105303
PF10_0342	opfj12812		
PF10_0352	j116_2	2	0.988629156
PF10_0352	km548_1		
PF10_0359	j21_27	2	0.957069897
PF10_0359	opfj12805		
PF10_0360	j21_24	2	0.982363392
PF10_0360	j21_26		
PF10_0361	j21_21	2	0.973463962
PF10_0361	kn131_2		
PF10_0368	j21_5	2	0.983437936
PF10_0368	opfj12801		
PF10_0369	j21_1	2	0.612955481
PF10_0369	opff72456		
PF11_0039	ks75_16	2	0.938184553
PF11_0039	opfk12894		
PF11_0053	ks59_1	2	0.938629131
PF11_0053	ks59_3		
PF11_0054	ks1480_2	2	0.908112429
PF11_0054	ks1480_3		
PF11_0066	ks79_1	2	0.985369977
PF11_0066	ks79_2		
PF11_0068	ks79_4	2	0.969622582
PF11_0068	opfk12893		
PF11_0069	ks664_35	2	0.904422696
PF11_0069	ks79_7		
PF11_0083	ks25_19	2	0.929297798
PF11_0083	ks25_26		
PF11_0090	ks42_1	2	0.892447086
PF11_0090	ks42_2		
PF11_0124	ks64_1	2	0.930728017
PF11_0124	ks64_2		
PF11_0156	j2951_6	2	-0.189361528
PF11_0156	ks152_10		
PF11_0165	ks826_1		
PF11_0165	z_1_100	8	0.97855586
PF11_0165	z_1_40		
PF11_0165	z_1_50		
PF11_0165	z_1_60		
PF11_0165	z_1_70		
PF11_0165	z_1_80		
PF11_0165	z_1_90		
PF11_0168	ks1072_1	2	0.810019392
PF11_0168	ks202_10		
PF11_0171	ks202_6	2	0.887480971
PF11_0171	opfk12906		
PF11_0172	ks202_5	2	0.968327428
PF11_0172	opfk12910		
PF11_0181	ks509_4	2	0.986748654
PF11_0181	opfk12911		
PF11_0190	i1401_1	2	0.970326346
PF11_0190	opfk12915		
PF11_0191	ks97_1	2	0.934254112
PF11_0191	opfk12904		
PF11_0218	ks51_11	2	0.850654143
PF11_0218	ks51_9		
PF11_0220	ks51_3	2	0.975866354
PF11_0220	ks51_4		
PF11_0227	j3810_1	2	0.979842734
PF11_0227	opfk12908		
PF11_0230	ks244_1	2	0.986931977
PF11_0230	ks244_2		
PF11_0241	ks309_2	2	0.821356737
PF11_0241	ks309_3		
PF11_0242	ks436_2	2	0.972923055
PF11_0242	opfk12907		
PF11_0245	ks259_2	2	0.974915521
PF11_0245	ks259_4		
PF11_0251	ks1071_3	2	0.938164968
PF11_0251	opfk12913		
PF11_0254	ks424_11	2	0.955520601
PF11_0254	ks424_12		
PF11_0255	ks424_13	2	0.971404421
PF11_0255	ks424_14		
PF11_0268	ks370_2	2	0.983805389
PF11_0268	ks370_4		
PF11_0281	ks453_3	2	0.699641054
PF11_0281	ks453_5		
PF11_0290	ks213_1	2	0.973224631
PF11_0290	ks637_1		
PF11_0292	ks470_1	2	0.945935197
PF11_0292	ks470_2		
PF11_0295	ks387_5	2	0.93266289
PF11_0295	ks387_8		
PF11_0300	ks488_7	2	0.953328654
PF11_0300	ks488_9		
PF11_0301	ks488_1	2	0.984235736
PF11_0301	ks488_5		
PF11_0315	ks624_2	2	0.987192772
PF11_0315	ks624_4		
PF11_0316	ks624_12	2	0.938616577
PF11_0316	ks624_8		
PF11_0327	ks31_1	2	0.899185354
PF11_0327	ks31_2		
PF11_0333	ks135_5	2	0.50308374
PF11_0333	ks732_1		
PF11_0347	ks44_10	2	0.948079804
PF11_0347	ks44_11		
PF11_0354	ks89_1	2	0.898124371
PF11_0354	ks89_2		
PF11_0377	ks3_3	2	0.963639936
PF11_0377	opfk12890		
PF11_0381	ks510_10	2	0.956997177
PF11_0381	ks510_8		
PF11_0417	ks595_1	2	0.963934603
PF11_0417	ks595_2		
PF11_0429	ks545_1	2	0.976949652
